# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 426, mean track length: 2
426 3.0402871693179492 1.9560813075701771 5.8665273156460227 113 115 110 0.81367906298254722 1 1763 2 1882
425 2.8744285925421331 1.959151721489971 5.8897759430381207 85 87 82 0.89103930557423905 1 1762 2 1876
424 5.1992051962248889 1.4656157133057481 4.1209291739078395 161 163 157 1.168058243859174 1 1755 2 2006
423 4.6775003754952644 1.4931239655754538 4.2290510625409423 109 114 108 0.75647960562319971 1 1750 2 2003
422 3.7287757364256624 1.502255182746058 4.3319060702618284 131 139 128 1.1414970928948522 1 1737 2 1991
421 2.8865301612616898 1.9111056400224649 5.9046404757441273 87 88 80 0.88820430457690747 1 1715 2 1831
420 2.7846598547326331 1.9155479211028368 5.9560165601783286 101 102 94 0.11489206431416188 1 1704 2 1820
419 3.2152709649666975 1.8802308779561985 5.81023815905154 116 118 108 0.4192204788716451 1 1697 2 1836
418 3.0955911019769058 1.8747987023920718 5.8264522490418944 111 113 102 0.35392643442545235 1 1693 2 1828
417 4.5657425113130188 1.4569200106347295 4.2782505742290109 155 156 150 0.20298535212892671 1 1690 2 1956
416 5.7481097813523876 1.3485603930011001 3.9432175853735378 121 125 118 0.81605404993807729 1 1679 2 1947
415 5.7095817386105185 1.3607918690002352 3.9917651703228474 116 119 110 0.18618669933924226 1 1673 2 1946
414 4.8880686879420692 1.5871850777552603 4.7799817083739526 50 45 35 1.4939644542360195 1 1672 2 1914
413 5.1385989093165625 1.4497607523128766 4.3042239577233747 120 118 106 1.3116306430901417 1 1668 2 1939
412 3.7122385760354213 1.4648409285792037 4.4350365740776692 146 153 146 1.4122464030604416 1 1666 2 1910
411 2.4891333550904058 1.9895482603028793 6.408098268004677 102 107 100 0.34783061985820907 1 1665 2 1756
410 5.3061070882551329 1.3895817931858709 4.1263980994734695 137 142 135 0.55350646132429782 1 1658 2 1931
409 5.1956567096304491 1.3981944279739658 4.1556545118468513 131 134 125 0.47689575838830628 1 1657 2 1930
408 5.0732247347365469 1.5544058145541684 4.7505340178607476 60 50 41 2.5175491446955434 1 1655 2 1856
407 2.8908897279017309 1.8592692471961747 5.927920508614287 93 96 87 0.57740274148781356 1 1651 2 1787
406 4.912819281245822 1.5597331849288465 4.7436957254066083 23 19 11 1.165762778923416 1 1647 2 1900
405 2.9767755879052591 1.8562078950353238 5.9164509670845913 73 81 68 0.10786707769809126 1 1645 2 1794
404 2.7753198357888809 1.8613501715322602 5.953101221226424 118 119 111 0.10019504872656418 1 1644 2 1777
403 4.570162402887914 1.4268220082761276 4.307326223850521 140 143 134 1.3162624722124576 1 1639 2 1913
402 3.2047971335877494 1.8351273027919361 5.8824327762098534 95 95 88 0.3686463117754204 1 1636 2 1778
401 4.0884487378887426 1.4565571801960924 4.4540099906253205 107 112 106 0.87402181723252892 1 1633 2 1893
400 3.1067279498928499 1.8187288964487922 5.914438493291529 141 138 129 0.093732769179428535 1 1616 2 1768
399 2.5067918117220533 1.9473324200352269 6.4506314155427038 107 112 105 0.61042596874566901 1 1614 2 1704
398 2.4230262493230863 1.9472002528820436 6.451077874019477 75 81 77 0.31082575943335666 1 1613 2 1703
397 2.9035339068665702 1.8153787138250892 5.9424670080582924 87 87 79 0.46395147384844149 1 1606 2 1753
396 2.7696960668537218 1.8167775331383815 5.9650195215854396 121 122 115 0.90220903454767543 1 1605 2 1741
395 5.8897692250892248 1.3095932607177221 3.9685238371656388 148 149 143 0.84745666395080921 1 1603 2 1916
394 2.8298677647532453 1.8149766401481937 5.9584123745742446 121 123 113 0.14569301002651858 1 1601 2 1746
393 5.7144518073940871 1.3404006223976246 4.1200078933162132 96 99 92 0.12158410213539533 1 1597 2 1887
392 5.7431817547346409 1.3070497530541256 4.0448134462429666 119 120 112 0.020585911439590581 1 1589 2 1879
391 3.7212119768558569 1.4080562459916657 4.4601252214873952 157 162 155 0.0031451417488993589 1 1588 2 1845
390 2.4938665628332575 1.9015620540162086 6.4543896105777687 95 100 94 0.29901729154575918 1 1586 2 1659
389 5.8085197314426686 1.2982361759387051 4.0187832092234572 88 88 86 0.80936673244140578 1 1585 2 1888
388 2.4361111195775487 1.9028026284207142 6.4667757767880616 78 83 77 0.53498438827439232 1 1581 2 1658
387 2.3664718768096993 1.9012414856734001 6.4828198614630921 105 110 106 0.29595110277937264 1 1580 2 1652
386 5.1484863481062693 1.372874255602252 4.2986913363126771 44 47 40 1.312225033469725 1 1573 2 1868
385 3.8220131157188622 1.3994249651910902 4.4422962576868814 159 164 157 0.44182854504038499 1 1571 2 1846
384 2.9942657013305993 1.7708950514976447 5.9431104323893749 99 99 89 0.078258326019789465 1 1570 2 1721
383 2.8277624005908506 1.7687916737285303 5.9739582589293097 125 126 118 0.43679707909904569 1 1563 2 1696
382 2.9101924993714374 1.7626106635798036 5.9607014512757264 98 99 91 0.36168950159797103 1 1561 2 1697
381 4.6865874352245083 1.3647213528036701 4.3382491113662009 130 135 128 1.8570961472266867 1 1559 2 1834
380 5.8661285756762771 1.2671315331525623 3.9946379308629592 149 157 146 0.019878985147207536 1 1545 2 1854
379 3.9776081186568866 1.3752958334975616 4.4608368966617551 80 85 79 0.28761170883825005 1 1540 2 1814
378 2.4455080503992996 1.8560274999141297 6.4798362570987358 82 87 81 0.139755918146305 1 1539 2 1598
377 3.2120312965176048 1.7277117846155368 5.9281917162897866 114 114 106 0.3418032051560802 1 1536 2 1678
376 3.119780912469226 1.7338496769661238 5.9575127506027385 99 104 90 0.40494302904527263 1 1535 2 1675
375 3.0017675088334101 1.7261574364523851 5.9732566356431072 96 97 88 0.33693964759374639 1 1528 2 1665
374 3.1661806680927764 1.7168815671744351 5.9335688449076738 26 28 25 0.90488924655379011 1 1527 2 1674
373 2.9231904937086277 1.7193341565677978 5.9750561606423354 92 93 85 0.063615819086284262 1 1526 2 1654
372 2.8469168782840306 1.7171917492743767 5.9967350271016482 123 124 115 0.25320913375533016 1 1523 2 1646
371 3.7240442372153857 1.3540865145811571 4.4930238212270535 155 160 154 0.32619433838202649 1 1515 2 1798
370 2.5575149347949249 1.8005219731451305 6.4477543192718816 119 121 116 0.1421049509661117 1 1511 2 1565
369 2.458287417277004 1.8077763087047241 6.4970928580178402 79 84 78 0.29615315139100495 1 1508 2 1556
368 2.3641123909638928 1.8087890087015304 6.5079053702000174 105 111 101 0.33718394755514713 1 1507 2 1549
367 5.8074886254611666 1.2387140951562203 4.0549627462849624 90 92 81 0.083957743641118077 1 1498 2 1825
366 3.0060808530401131 1.6814983697071155 5.9877109252761951 102 104 93 0.47376001357449038 1 1496 2 1612
365 5.863116174558801 1.2218124852953371 4.0152736293275026 156 160 150 0.28012718618772392 1 1485 2 1815
364 4.8163304476241757 1.4370940979223286 4.9194600273291051 34 34 22 0.81666152913323053 1 1483 2 1749
363 4.5409741671062989 1.3169949918858699 4.4104203841077574 142 143 136 0.90532395442307678 1 1482 2 1790
362 2.8175935202847424 1.6802586977569203 6.0332398419702962 124 126 115 0.35314049855168472 1 1481 2 1590
361 5.5975103366661134 1.3599066381277096 4.6944852755694715 35 36 31 0.82758003401313551 1 1462 2 1766
360 3.2244908251445437 1.6339657650306683 5.9610648620368831 108 105 100 0.47245384072487473 1 1461 2 1575
359 3.1353675257228293 1.6359759768040314 5.9932243761285058 82 86 73 0.33391791057293374 1 1457 2 1567
358 3.011673464452961 1.6338996268883919 6.0104103690465234 103 105 92 0.20625085448998803 1 1453 2 1561
357 3.8199033126637367 1.2975709109584788 4.4945720772270885 141 148 139 0.34509405059910941 1 1448 2 1764
356 3.7339694085182247 1.3015176002464046 4.5175612454740524 148 153 146 0.28578690993563283 1 1447 2 1755
355 2.9349483415203319 1.6315834634997477 6.0186779213205046 91 93 81 0.17047586392268188 1 1446 2 1557
